"","lower","median","upper"
"1",-6186.64478426487,4717.42737279507,15721.0074347472
"2",-6235.2640277842,4559.88909815225,15615.3563337881
"3",-6217.91670708651,4590.68686253749,15257.4999596144
"4",-6326.68812519171,4492.18879809469,15202.7128587245
"5",-6531.94643423602,4328.63794812465,15063.3657340732
"6",-6676.23270303651,4422.83846286233,15158.3499494936
"7",-6421.63985897641,4340.92094687858,15308.3464817613
"8",-6812.45104616197,4141.20716533292,15162.2750707047
"9",-6484.46536587131,4169.55872950926,15088.6223187182
"10",-6821.08457660041,4176.71687511922,15015.0165420312
"11",-6697.65605752139,4222.28171590885,14965.2131281268
"12",-6598.45538052317,4172.84197744682,14919.7897056102
"13",-6753.51977380197,4089.99463484067,14901.8805278702
"14",-6534.83918855872,4185.36588209957,15015.0572284103
"15",-6663.16185335106,4217.74521689568,15371.0574656356
"16",-6891.14431973718,4088.00043071213,14892.4241715991
"17",-6729.21169727447,4280.30373669458,15185.2871111714
"18",-6414.76652750115,4294.18916549162,14869.1748372547
"19",-6772.56173156704,4234.08000354764,15095.6273392178
"20",-6697.06081840206,4303.18668917698,15271.5590430188
"21",-6534.97448188303,4274.5333297149,15262.1544577788
"22",-6484.00496979777,4391.9683333607,15447.4733102871
"23",-6233.38933054367,4555.23051953309,15287.9660448548
"24",-6220.25145631388,4537.58363720292,15554.7009780818
"25",-6137.43617377642,4634.81315151898,15412.8774380978
"26",-6270.45623729544,4704.07271307956,15560.1910842987
"27",-6058.43145093248,5006.37397546745,15743.8564993115
"28",-6226.0538374915,5041.16943191513,15874.7318960608
"29",-6085.02441009795,5253.68529625819,16366.1815371595
"30",-5718.20449433904,5333.95869331334,16577.7833146605
"31",-5788.91463562426,5365.63838580223,16656.0972679723
"32",-5707.6675728496,5634.00386700619,17017.6396301653
"33",-5582.25714067114,5613.70661273097,17166.0656568623
"34",-5736.15225973242,5857.9943607369,17397.3722362509
"35",-6050.47112914582,6051.53233910517,17919.8877552589
"36",-5437.50735170277,6175.5510310971,18032.6515993386
"37",-5646.47972699868,6456.72664441798,18660.8978776559
"38",-5688.87459989492,6585.98365025493,18808.4685561285
"39",-5554.02750523927,6874.37269925333,18999.4649568057
