"","lower","median","upper"
"1",-6366.49253352278,4435.52349207775,15581.792277973
"2",-6202.04614811104,4397.94468198229,15128.5184502964
"3",-6673.31071818543,4287.74724425056,15174.0928064827
"4",-6636.37849905119,4201.69839072753,14983.1973835827
"5",-6975.7618704227,4132.06198153323,14935.0290377016
"6",-6668.17738026617,4146.84049599728,14814.1569711968
"7",-6676.06278507014,4020.89564572156,15062.6548983236
"8",-6846.84591465665,4014.35753255167,14685.7045216211
"9",-6934.82288089528,3795.81534866321,14725.4698611908
"10",-6890.12233829446,3806.42001738036,14792.6504872825
"11",-6948.31459045808,3831.61584793631,14553.9802655698
"12",-6945.42309458955,3864.87498538166,14740.9754390423
"13",-7227.29411376089,3789.62392648164,14543.8659519792
"14",-7190.61670045692,3967.61814046469,14617.7811954105
"15",-6929.78018327473,3826.2824074244,14544.0961119348
"16",-7183.4841278789,3883.71508888713,14503.1665742929
"17",-7166.09388605938,3746.488097738,14721.7233028819
"18",-7154.04007993302,3819.61022194313,14865.5348620796
"19",-6999.31992493404,3751.15955282925,14667.3290313888
"20",-6857.22587275006,3975.36318896441,14846.6781281379
"21",-6772.15408004575,4011.1671613347,14886.910801626
"22",-7071.40880795411,4026.27930552617,15278.1757980632
"23",-6605.16927405023,4098.66396213236,15285.0709843598
"24",-6800.60965202909,4080.20010226529,15190.4562144076
"25",-6440.27029588567,4413.35650738712,15261.4702864277
"26",-6482.34884135664,4428.34505327631,15442.9707236846
"27",-6343.84667518165,4417.8893862562,15639.7752034166
"28",-6474.815679837,4702.89975990146,15735.7017714729
"29",-6296.80341070637,4925.36864098565,15904.2594015098
"30",-6399.21154850299,4820.68002291953,15817.5082050245
"31",-6286.87872356053,4951.76140744555,16211.1120480895
"32",-6082.99793644166,5217.42059286119,16275.013130761
"33",-5974.59768592655,5236.73237845725,16509.7510713496
"34",-6059.35306298247,5486.44965490126,16897.8339119797
"35",-6101.69750855205,5581.81367434669,17137.4893473882
"36",-6106.38906500516,5682.0648162398,17614.0599594606
"37",-5916.55594849504,5811.80253220368,17975.1586118805
"38",-5822.8075153672,6185.7558977685,18451.9515414085
"39",-5844.17925706221,6412.07588754316,18585.2919773736
