"","lower","median","upper"
"1",3206.12570694495,4693.93008892112,6193.84070455451
"2",3293.61166826501,4605.10222416522,5926.36983259333
"3",3369.77078006426,4523.25832675081,5679.65444218682
"4",3418.55072258459,4447.69458270627,5494.0737128627
"5",3447.2517392731,4381.16987633364,5341.81133266773
"6",3435.1615321084,4325.60288619805,5224.21718921329
"7",3392.56311465867,4276.36286855044,5139.33094748755
"8",3345.2626298632,4231.22318705163,5111.03479638197
"9",3277.38324731175,4193.8888446282,5108.37618493373
"10",3202.25936070217,4162.71668164036,5123.83892606074
"11",3136.54205737857,4143.30444116034,5147.59458603613
"12",3069.10201793493,4134.43853240165,5189.82568305948
"13",3028.19402852541,4132.2299315845,5250.97813159279
"14",2979.64716198357,4137.02973282778,5307.34580005812
"15",2944.48263573605,4152.60466561774,5375.19524375814
"16",2902.94437277916,4171.24045379684,5437.76887947533
"17",2875.11403718207,4198.37853574289,5509.87953864228
"18",2868.18719986722,4230.48608532916,5582.88800810102
"19",2862.08517311315,4273.46855196622,5668.9013080945
"20",2851.83343371185,4320.23308195,5772.78189229227
"21",2827.5647147923,4376.97589571366,5903.92154955475
"22",2810.96314819502,4443.72275334056,6076.44769410896
"23",2767.97218067287,4519.76668058174,6243.41517783194
"24",2746.88456836232,4603.7430418697,6435.50975142238
"25",2725.88333058638,4695.44118216655,6666.45493983807
"26",2693.95591765238,4791.29791294378,6904.80373457553
"27",2641.29124691825,4904.83164231393,7172.35761807053
"28",2567.43772653543,5017.35053242535,7481.15012488424
"29",2479.68711658303,5140.34662230644,7823.97557330231
"30",2373.92733894419,5271.98640223242,8177.35111891903
"31",2266.53319434981,5415.03329779455,8579.88780240927
"32",2157.14121623531,5570.05230333623,8980.62708853431
"33",2017.84706291241,5718.47841965783,9444.8973110455
"34",1861.50617587872,5871.60918805128,9939.2025296334
"35",1688.21841316632,6031.58864877837,10462.2417860957
"36",1533.89922569975,6219.24103227484,10991.6768436993
"37",1355.24761255653,6409.43736243426,11550.1868322594
"38",1122.86841619743,6599.2610521514,12150.2623220805
"39",909.080192029529,6811.19181746156,12780.5354520562
